,lat,lon,max_wind,td,A,B,C,D,E,F,G,H,I,J,K,statusDB,statusEX,statusHU,statusLO,statusSD,statusSS,statusTD,statusTS,statusWV,lat1,lon1,max_wind1,td1,statusDB1,statusEX1,statusHU1,statusLO1,statusSD1,statusSS1,statusTD1,statusTS1,statusWV1,lat2,lon2,max_wind2,td2,statusDB2,statusEX2,statusHU2,statusLO2,statusSD2,statusSS2,statusTD2,statusTS2,statusWV2,lat3,lon3,max_wind3,td3,statusDB3,statusEX3,statusHU3,statusLO3,statusSD3,statusSS3,statusTD3,statusTS3,statusWV3,lat4,lon4,max_wind4,td4,statusDB4,statusEX4,statusHU4,statusLO4,statusSD4,statusSS4,statusTD4,statusTS4,statusWV4,lat5,lon5,max_wind5,td5,statusDB5,statusEX5,statusHU5,statusLO5,statusSD5,statusSS5,statusTD5,statusTS5,statusWV5,lat6,lon6,max_wind6,td6,statusDB6,statusEX6,statusHU6,statusLO6,statusSD6,statusSS6,statusTD6,statusTS6,statusWV6,lat7,lon7,max_wind7,td7,statusDB7,statusEX7,statusHU7,statusLO7,statusSD7,statusSS7,statusTD7,statusTS7,statusWV7,year1851,year1852,year1853,year1854,year1855,year1856,year1857,year1858,year1859,year1860,year1861,year1862,year1863,year1864,year1865,year1866,year1867,year1868,year1869,year1870,year1871,year1872,year1873,year1874,year1875,year1876,year1877,year1878,year1879,year1880,year1881,year1882,year1883,year1884,year1885,year1886,year1887,year1888,year1889,year1890,year1891,year1892,year1893,year1894,year1895,year1896,year1897,year1898,year1899,year1900,year1901,year1902,year1903,year1904,year1905,year1906,year1907,year1908,year1909,year1910,year1911,year1912,year1913,year1914,year1915,year1916,year1917,year1918,year1919,year1920,year1921,year1922,year1923,year1924,year1925,year1926,year1927,year1928,year1929,year1930,year1931,year1932,year1933,year1934,year1935,year1936,year1937,year1938,year1939,year1940,year1941,year1942,year1943,year1944,year1945,year1946,year1947,year1948,year1949,year1950,year1951,year1952,year1953,year1954,year1955,year1956,year1957,year1958,year1959,year1960,year1961,year1962,year1963,year1964,year1965,year1966,year1967,year1968,year1969,year1970,year1971,year1972,year1973,year1974,year1975,year1976,year1977,year1978,year1979,year1980,year1981,year1982,year1983,year1984,year1985,year1986,year1987,year1988,year1989,year1990,year1991,year1992,year1993,year1994,year1995,year1996,year1997,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
37161,17.1,-34.2,95,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17.5,-35.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-36.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,-37.3,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,-38.5,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-39.7,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-41.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,-42.6,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37162,17.5,-35.1,100,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17.9,-36.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,-37.3,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,-38.5,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-39.7,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-41.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,-42.6,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,-44.1,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37163,17.9,-36.1,100,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18.4,-37.3,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,-38.5,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-39.7,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-41.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,-42.6,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,-44.1,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,-45.5,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37164,18.4,-37.3,100,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18.8,-38.5,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-39.7,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-41.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,-42.6,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,-44.1,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,-45.5,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,-46.7,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37165,18.8,-38.5,100,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19.1,-39.7,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,-41.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,-42.6,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,-44.1,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,-45.5,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,-46.7,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-47.9,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37166,19.1,-39.7,100,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19.1,-41.1,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,-42.6,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,-44.1,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,-45.5,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,-46.7,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-47.9,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-49.2,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37167,19.1,-41.1,100,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18.9,-42.6,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,-44.1,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,-45.5,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,-46.7,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-47.9,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-49.2,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,-50.4,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37168,18.9,-42.6,95,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18.7,-44.1,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,-45.5,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,-46.7,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-47.9,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-49.2,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,-50.4,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-51.5,105.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37169,18.7,-44.1,95,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18.5,-45.5,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,-46.7,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-47.9,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-49.2,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,-50.4,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-51.5,105.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-52.6,110.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37170,18.5,-45.5,95,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18.2,-46.7,95.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,-47.9,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-49.2,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,-50.4,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-51.5,105.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-52.6,110.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-53.9,115.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37171,18.2,-46.7,95,6.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17.9,-47.9,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-49.2,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,-50.4,100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-51.5,105.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-52.6,110.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-53.9,115.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,-55.1,125.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
